"GEO_ID","NAME","B27001_001E","B27001_001M","B27001_002E","B27001_002M","B27001_003E","B27001_003M","B27001_004E","B27001_004M","B27001_005E","B27001_005M","B27001_006E","B27001_006M","B27001_007E","B27001_007M","B27001_008E","B27001_008M","B27001_009E","B27001_009M","B27001_010E","B27001_010M","B27001_011E","B27001_011M","B27001_012E","B27001_012M","B27001_013E","B27001_013M","B27001_014E","B27001_014M","B27001_015E","B27001_015M","B27001_016E","B27001_016M","B27001_017E","B27001_017M","B27001_018E","B27001_018M","B27001_019E","B27001_019M","B27001_020E","B27001_020M","B27001_021E","B27001_021M","B27001_022E","B27001_022M","B27001_023E","B27001_023M","B27001_024E","B27001_024M","B27001_025E","B27001_025M","B27001_026E","B27001_026M","B27001_027E","B27001_027M","B27001_028E","B27001_028M","B27001_029E","B27001_029M","B27001_030E","B27001_030M","B27001_031E","B27001_031M","B27001_032E","B27001_032M","B27001_033E","B27001_033M","B27001_034E","B27001_034M","B27001_035E","B27001_035M","B27001_036E","B27001_036M","B27001_037E","B27001_037M","B27001_038E","B27001_038M","B27001_039E","B27001_039M","B27001_040E","B27001_040M","B27001_041E","B27001_041M","B27001_042E","B27001_042M","B27001_043E","B27001_043M","B27001_044E","B27001_044M","B27001_045E","B27001_045M","B27001_046E","B27001_046M","B27001_047E","B27001_047M","B27001_048E","B27001_048M","B27001_049E","B27001_049M","B27001_050E","B27001_050M","B27001_051E","B27001_051M","B27001_052E","B27001_052M","B27001_053E","B27001_053M","B27001_054E","B27001_054M","B27001_055E","B27001_055M","B27001_056E","B27001_056M","B27001_057E","B27001_057M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 6 years","Margin of Error!!Total!!Male!!Under 6 years","Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Male!!6 to 17 years","Margin of Error!!Total!!Male!!6 to 17 years","Estimate!!Total!!Male!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Male!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Male!!18 to 24 years","Margin of Error!!Total!!Male!!18 to 24 years","Estimate!!Total!!Male!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Male!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Male!!25 to 34 years","Margin of Error!!Total!!Male!!25 to 34 years","Estimate!!Total!!Male!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Male!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Male!!75 years and over","Margin of Error!!Total!!Male!!75 years and over","Estimate!!Total!!Male!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!With health insurance coverage","Estimate!!Total!!Male!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!No health insurance coverage","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 6 years","Margin of Error!!Total!!Female!!Under 6 years","Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Female!!6 to 17 years","Margin of Error!!Total!!Female!!6 to 17 years","Estimate!!Total!!Female!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Female!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Female!!18 to 24 years","Margin of Error!!Total!!Female!!18 to 24 years","Estimate!!Total!!Female!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Female!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Female!!25 to 34 years","Margin of Error!!Total!!Female!!25 to 34 years","Estimate!!Total!!Female!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Female!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Female!!75 years and over","Margin of Error!!Total!!Female!!75 years and over","Estimate!!Total!!Female!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!With health insurance coverage","Estimate!!Total!!Female!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!No health insurance coverage"
"0500000US34001","Atlantic County, New Jersey","268694","636","130041","928","9357","595","9200","679","157","268","20740","743","20117","904","623","429","12537","382","11272","793","1265","595","15694","813","12010","1070","3684","981","14839","894","10694","893","4145","814","18276","383","16410","827","1866","686","18829","111","17416","539","1413","540","12382","563","12094","612","288","257","7387","536","7387","536","0","200","138653","844","9049","880","8634","843","415","407","19786","787","18899","857","887","553","12681","387","12202","499","479","353","16060","643","13959","1005","2101","829","16123","519","12955","977","3168","1004","19901","166","18259","682","1642","651","20320","100","19635","494","685","477","14117","430","13712","450","405","248","10616","518","10472","492","144","157"
"0500000US34003","Bergen County, New Jersey","932821","1560","451879","1005","32976","1494","31684","1851","1292","943","69697","1496","65644","1937","4053","1172","39170","154","34623","1363","4547","1365","54487","352","44516","1798","9971","1730","59759","293","51927","1894","7832","1878","68737","146","63405","1261","5332","1267","62456","127","58622","1090","3834","1072","38423","359","38269","406","154","185","26174","650","25944","691","230","211","480942","1137","30357","1216","29381","1316","976","521","68106","1226","65935","1473","2171","796","37592","140","34519","862","3073","830","54793","197","47919","1438","6874","1421","63493","176","57419","1372","6074","1327","73503","188","67940","1083","5563","1047","67287","346","61460","1538","5827","1463","44895","278","44483","447","412","340","40916","770","40402","836","514","389"
"0500000US34005","Burlington County, New Jersey","434158","2089","209400","1933","14072","669","14072","669","0","200","33186","883","32392","1032","794","567","18899","849","16790","1037","2109","821","25739","762","22458","1222","3281","932","24794","911","23331","953","1463","592","31696","769","30322","894","1374","442","30315","500","28989","845","1326","630","18485","456","18442","455","43","71","12214","403","12214","403","0","200","224758","852","13807","858","13707","859","100","138","32807","969","32336","1012","471","308","16491","676","16065","664","426","261","26363","276","23526","1013","2837","1000","27589","114","26382","698","1207","687","34833","234","33177","815","1656","847","32767","89","31934","392","833","376","22031","343","21821","420","210","211","18070","460","18070","460","0","200"
"0500000US34007","Camden County, New Jersey","504570","1173","244147","879","19005","965","18502","1087","503","394","41639","965","40797","975","842","377","21292","386","18382","1295","2910","1282","34651","410","28315","1430","6336","1420","30601","321","26965","1120","3636","1003","33362","268","30666","875","2696","881","31938","237","29933","1135","2005","1139","19995","293","19703","424","292","275","11664","383","11664","383","0","200","260423","601","17992","836","17272","966","720","540","38760","914","38095","981","665","437","21322","272","20207","803","1115","746","35368","111","33199","837","2169","834","32861","77","28948","980","3913","988","36921","99","35189","746","1732","743","35246","213","33487","746","1759","733","24278","310","23978","416","300","370","17675","532","17675","532","0","200"
"0500000US34009","Cape May County, New Jersey","92383","643","45561","853","2566","431","2492","445","74","119","6400","637","6214","670","186","221","3949","817","3729","874","220","262","4162","342","3450","441","712","377","4386","597","4122","617","264","190","6329","704","5551","749","778","420","7066","171","6721","252","345","251","6698","249","6698","249","0","200","4005","353","4005","353","0","200","46822","801","2170","455","2134","452","36","61","5465","396","5287","430","178","226","2744","224","2477","411","267","354","4654","524","4306","511","348","308","4775","849","4677","856","98","116","6590","497","5787","654","803","480","7956","223","7877","231","79","79","7522","290","7522","290","0","200","4946","617","4946","617","0","200"
"0500000US34011","Cumberland County, New Jersey","141264","1957","67693","1701","5765","558","5765","558","0","200","13045","424","12089","1063","956","1007","6250","304","5236","692","1014","643","10042","687","6763","1032","3279","896","7507","808","5602","943","1905","613","7944","803","6528","1207","1416","856","7742","440","6951","589","791","484","5930","344","5925","345","5","12","3468","345","3468","345","0","200","73571","1041","5548","670","5074","816","474","499","12203","571","11381","848","822","652","5373","502","4641","603","732","439","9764","271","7582","838","2182","754","9331","299","8024","679","1307","630","9824","336","8747","590","1077","557","9523","271","9449","296","74","100","6930","538","6828","527","102","177","5075","677","5075","677","0","200"
"0500000US34013","Essex County, New Jersey","784669","2155","373759","1975","32128","1193","31167","1362","961","500","64120","1201","60107","1439","4013","1058","36273","601","30368","1458","5905","1413","51084","712","38922","2059","12162","1977","52149","643","40483","1949","11666","1894","53409","608","45234","1839","8175","1749","44268","374","40725","1168","3543","1100","25304","323","24645","561","659","449","15024","431","14701","558","323","329","410910","738","31432","1113","28871","1531","2561","1332","61509","1117","58992","1415","2517","876","36040","119","30571","1311","5469","1283","55924","214","45851","1804","10073","1796","57383","135","48554","1415","8829","1424","58504","90","50808","1475","7696","1489","51422","93","46656","1154","4766","1143","33398","336","31918","839","1480","766","25298","673","24968","696","330","305"
"0500000US34015","Gloucester County, New Jersey","291207","498","141447","675","9971","821","9747","841","224","315","23513","727","22985","752","528","397","13393","192","12418","446","975","402","18683","974","16097","1247","2586","832","17250","890","15948","989","1302","661","20409","391","19518","563","891","463","19729","601","18929","790","800","563","12157","567","11916","537","241","303","6342","442","6342","442","0","200","149760","694","9979","826","9779","903","200","237","21978","800","21853","778","125","182","12729","468","12038","618","691","357","17751","1054","16362","1075","1389","669","19337","941","18878","932","459","402","22633","373","21718","609","915","439","20923","227","20520","378","403","288","14342","382","14139","453","203","234","10088","312","10088","312","0","200"
"0500000US34017","Hudson County, New Jersey","672860","3353","333996","3017","28754","1024","27497","1235","1257","621","41873","1066","38047","1532","3826","1098","29697","355","23312","1199","6385","1150","72587","2049","58006","2452","14581","2256","55161","395","43594","1947","11567","1940","41997","266","34255","1091","7742","1140","33768","415","27736","1238","6032","1160","18751","121","17937","513","814","507","11408","225","11363","236","45","75","338864","638","26530","999","25387","1172","1143","794","41291","1053","38666","1337","2625","875","27022","85","22148","970","4874","944","70353","180","60619","1571","9734","1573","51030","360","43198","1710","7832","1665","42792","5","36417","1075","6375","1076","37652","345","32504","1454","5148","1367","23718","235","22376","674","1342","638","18476","376","18170","429","306","240"
"0500000US34019","Hunterdon County, New Jersey","120798","696","59608","637","2872","414","2857","414","15","29","9727","596","9375","631","352","299","4949","431","4641","463","308","269","5166","411","4404","322","762","346","6208","682","5775","667","433","298","10333","427","9982","498","351","311","10769","394","10609","405","160","126","6139","320","6139","320","0","200","3445","216","3445","216","0","200","61190","706","2861","535","2861","535","0","200","8737","269","8737","269","0","200","4564","227","4330","255","234","195","5376","437","5150","477","226","227","6591","393","6319","466","272","234","11222","508","11129","493","93","97","10878","359","10615","379","263","185","6150","145","6150","145","0","200","4811","294","4811","294","0","200"
"0500000US34021","Mercer County, New Jersey","365908","1067","177914","1089","12921","754","12880","768","41","70","27380","835","26751","967","629","458","20473","752","17954","1212","2519","967","23424","901","18467","1657","4957","1412","23329","508","19739","1059","3590","932","25795","202","24086","839","1709","826","22841","240","21861","521","980","458","13953","548","13953","548","0","200","7798","592","7798","592","0","200","187994","730","12505","851","12180","970","325","364","26746","947","25860","1145","886","478","20879","528","19215","1096","1664","1009","22864","538","19585","1002","3279","915","23635","85","21320","717","2315","704","26804","328","25155","801","1649","818","25011","189","23861","583","1150","516","16204","397","16204","397","0","200","13346","482","13346","482","0","200"
"0500000US34023","Middlesex County, New Jersey","828133","1950","405006","1830","30236","1417","29578","1366","658","338","62531","1451","60912","1548","1619","681","40649","597","35849","1049","4800","970","57871","541","48543","1829","9328","1777","56359","528","49695","1362","6664","1206","56552","747","50690","1424","5862","1295","51134","460","47710","1129","3424","1005","30469","525","29843","642","626","383","19205","370","19081","421","124","151","423127","697","28838","1191","28448","1232","390","269","60325","1190","58472","1436","1853","726","38856","110","35850","936","3006","924","58107","83","51961","1273","6146","1272","56698","215","52447","982","4251","944","59051","191","53416","1379","5635","1357","55184","189","52130","827","3054","811","36201","288","35075","697","1126","631","29867","437","29088","590","779","447"
"0500000US34025","Monmouth County, New Jersey","622120","919","302660","838","18846","880","18510","896","336","283","49919","925","48271","1151","1648","945","27297","192","23289","1149","4008","1160","33937","520","27943","1034","5994","910","35038","143","30666","960","4372","951","47587","292","44445","945","3142","821","45940","302","43830","680","2110","655","27829","223","27721","314","108","181","16267","323","15891","456","376","349","319460","625","19166","1107","19074","1137","92","107","47363","1154","45614","1785","1749","1376","25965","135","23878","817","2087","815","32629","167","28714","934","3915","968","36826","134","33328","1125","3498","1133","51324","47","47307","1099","4017","1100","48702","87","47408","549","1294","540","31452","383","31202","428","250","219","26033","422","25973","452","60","103"
"0500000US34027","Morris County, New Jersey","495032","1223","243061","1181","15094","857","14854","900","240","266","40160","840","39296","1076","864","564","22031","436","20361","814","1670","761","26862","390","23324","947","3538","848","30158","450","28346","895","1812","712","39512","435","37200","842","2312","707","34390","441","31894","883","2496","769","20693","632","20218","693","475","330","14161","451","14161","451","0","200","251971","652","14123","694","14041","696","82","100","38698","726","37910","835","788","403","20917","442","19664","713","1253","671","26031","475","23184","1059","2847","914","32049","402","30591","791","1458","675","40602","394","38926","740","1676","630","36164","133","34682","671","1482","649","24048","521","23724","582","324","311","19339","724","19207","728","132","214"
"0500000US34029","Ocean County, New Jersey","587255","754","283130","802","24776","1108","24687","1102","89","112","46962","1168","46209","1244","753","412","22784","517","20078","1017","2706","906","31888","707","26958","1280","4930","1310","29466","822","24988","1299","4478","1369","36237","853","31810","1086","4427","1100","36739","590","35513","811","1226","579","30642","542","30449","639","193","312","23636","589","23636","589","0","200","304125","748","22851","886","22507","1016","344","359","45511","957","44572","1173","939","584","20993","366","19504","862","1489","823","32340","669","29295","1043","3045","941","30469","750","27172","1063","3297","835","37153","658","34502","1090","2651","907","40438","501","38729","715","1709","614","39278","713","39084","679","194","317","35092","741","35092","741","0","200"
"0500000US34031","Passaic County, New Jersey","503953","912","246005","839","22448","1014","21559","1104","889","550","40517","1056","38389","1241","2128","752","25388","299","21115","1107","4273","1123","32884","880","23263","1441","9621","1495","31949","789","23640","2010","8309","1722","33861","151","26775","1210","7086","1203","30169","131","26803","918","3366","929","17775","260","17316","424","459","339","11014","344","10882","405","132","216","257948","669","20552","1159","19954","1207","598","404","39326","1178","37636","1385","1690","770","24963","120","20458","1316","4505","1332","34320","65","28774","1291","5546","1296","32643","308","25493","1300","7150","1299","35415","164","30071","1176","5344","1158","32330","78","29552","948","2778","940","21683","367","21001","507","682","414","16716","545","16609","582","107","174"
"0500000US34033","Salem County, New Jersey","62206","829","30254","747","2247","493","2247","493","0","200","4719","588","4605","615","114","188","2858","464","2430","555","428","541","3092","413","2481","281","611","331","3817","498","3161","368","656","430","4056","269","3838","275","218","210","4434","429","4315","444","119","110","3086","203","2980","213","106","166","1945","187","1945","187","0","200","31952","595","2157","401","2018","440","139","180","4570","341","4367","391","203","245","2647","379","2647","379","0","200","3722","344","3562","354","160","113","3540","492","3337","373","203","240","4580","379","3847","447","733","409","4791","199","4493","395","298","352","3367","165","3367","165","0","200","2578","229","2578","229","0","200"
"0500000US34035","Somerset County, New Jersey","330882","938","160785","969","10306","847","9928","1106","378","506","27434","886","26314","1064","1120","669","15099","216","14319","455","780","452","16839","489","14183","1046","2656","963","21250","664","19840","884","1410","703","26397","662","25546","803","851","429","23069","183","22185","433","884","407","11986","651","11986","651","0","200","8405","550","8314","577","91","148","170097","879","10531","712","10048","715","483","330","26220","731","24776","927","1444","795","13097","723","12581","787","516","439","17273","712","15360","863","1913","820","23225","243","21337","1047","1888","957","28020","108","27221","410","799","386","24133","58","22757","692","1376","690","15204","614","14711","671","493","395","12394","648","12394","648","0","200"
"0500000US34037","Sussex County, New Jersey","141776","529","70689","536","4084","573","3987","592","97","116","11010","610","10919","621","91","105","6028","564","5694","552","334","244","7629","574","6874","707","755","365","7968","595","7170","751","798","521","11829","263","11072","468","757","417","11693","266","11241","343","452","249","7015","315","6976","323","39","66","3433","134","3433","134","0","200","71087","484","3532","475","3439","472","93","152","10582","489","10446","514","136","156","5535","484","5389","498","146","178","6882","523","6526","537","356","231","8164","574","7666","505","498","475","12578","469","11959","535","619","298","12119","290","11213","450","906","390","7185","210","7185","210","0","200","4510","262","4409","300","101","169"
"0500000US34039","Union County, New Jersey","550999","1131","268445","950","21746","1157","20561","1266","1185","647","44830","1144","42694","1344","2136","907","24769","379","19999","1215","4770","1124","35629","585","26490","1507","9139","1333","37871","199","30039","1217","7832","1213","39347","270","33597","1237","5750","1207","33680","162","28988","1122","4692","1111","19404","232","19023","451","381","365","11169","309","10997","367","172","269","282554","635","20465","749","19246","1067","1219","710","44095","797","41654","1233","2441","964","23440","43","18887","1468","4553","1463","35581","91","29756","1012","5825","1006","38761","4","32732","1052","6029","1052","41278","204","35858","1511","5420","1489","36806","69","34229","658","2577","666","22835","277","22300","490","535","410","19293","562","19185","577","108","137"
"0500000US34041","Warren County, New Jersey","105890","498","52553","518","3500","707","2923","744","577","689","7925","625","7460","780","465","367","4340","295","3693","472","647","395","6377","368","5219","432","1158","434","6145","452","4889","525","1256","595","8050","349","7491","410","559","316","8551","245","8030","465","521","407","4781","232","4772","232","9","19","2884","41","2884","41","0","200","53337","547","3075","304","3011","328","64","107","7353","408","7071","457","282","314","4400","306","4252","350","148","126","5573","457","5370","378","203","235","6455","348","5381","600","1074","555","8653","338","8314","408","339","201","8236","304","7972","338","264","245","5291","181","5291","181","0","200","4301","408","4085","363","216","248"
