GEO_ID,NAME,B27001_001E,B27001_001M,B27001_002E,B27001_002M,B27001_003E,B27001_003M,B27001_004E,B27001_004M,B27001_005E,B27001_005M,B27001_006E,B27001_006M,B27001_007E,B27001_007M,B27001_008E,B27001_008M,B27001_009E,B27001_009M,B27001_010E,B27001_010M,B27001_011E,B27001_011M,B27001_012E,B27001_012M,B27001_013E,B27001_013M,B27001_014E,B27001_014M,B27001_015E,B27001_015M,B27001_016E,B27001_016M,B27001_017E,B27001_017M,B27001_018E,B27001_018M,B27001_019E,B27001_019M,B27001_020E,B27001_020M,B27001_021E,B27001_021M,B27001_022E,B27001_022M,B27001_023E,B27001_023M,B27001_024E,B27001_024M,B27001_025E,B27001_025M,B27001_026E,B27001_026M,B27001_027E,B27001_027M,B27001_028E,B27001_028M,B27001_029E,B27001_029M,B27001_030E,B27001_030M,B27001_031E,B27001_031M,B27001_032E,B27001_032M,B27001_033E,B27001_033M,B27001_034E,B27001_034M,B27001_035E,B27001_035M,B27001_036E,B27001_036M,B27001_037E,B27001_037M,B27001_038E,B27001_038M,B27001_039E,B27001_039M,B27001_040E,B27001_040M,B27001_041E,B27001_041M,B27001_042E,B27001_042M,B27001_043E,B27001_043M,B27001_044E,B27001_044M,B27001_045E,B27001_045M,B27001_046E,B27001_046M,B27001_047E,B27001_047M,B27001_048E,B27001_048M,B27001_049E,B27001_049M,B27001_050E,B27001_050M,B27001_051E,B27001_051M,B27001_052E,B27001_052M,B27001_053E,B27001_053M,B27001_054E,B27001_054M,B27001_055E,B27001_055M,B27001_056E,B27001_056M,B27001_057E,B27001_057M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Under 6 years:,Margin of Error!!Total:!!Male:!!Under 6 years:,Estimate!!Total:!!Male:!!Under 6 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!Under 6 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!Under 6 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!Under 6 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!6 to 18 years:,Margin of Error!!Total:!!Male:!!6 to 18 years:,Estimate!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!6 to 18 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!6 to 18 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!19 to 25 years:,Margin of Error!!Total:!!Male:!!19 to 25 years:,Estimate!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!19 to 25 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!19 to 25 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!26 to 34 years:,Margin of Error!!Total:!!Male:!!26 to 34 years:,Estimate!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!26 to 34 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!26 to 34 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!35 to 44 years:,Margin of Error!!Total:!!Male:!!35 to 44 years:,Estimate!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!35 to 44 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!35 to 44 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!45 to 54 years:,Margin of Error!!Total:!!Male:!!45 to 54 years:,Estimate!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!45 to 54 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!45 to 54 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!55 to 64 years:,Margin of Error!!Total:!!Male:!!55 to 64 years:,Estimate!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!55 to 64 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!55 to 64 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!65 to 74 years:,Margin of Error!!Total:!!Male:!!65 to 74 years:,Estimate!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!65 to 74 years:!!With health insurance coverage,Estimate!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!65 to 74 years:!!No health insurance coverage,Estimate!!Total:!!Male:!!75 years and over:,Margin of Error!!Total:!!Male:!!75 years and over:,Estimate!!Total:!!Male:!!75 years and over:!!With health insurance coverage,Margin of Error!!Total:!!Male:!!75 years and over:!!With health insurance coverage,Estimate!!Total:!!Male:!!75 years and over:!!No health insurance coverage,Margin of Error!!Total:!!Male:!!75 years and over:!!No health insurance coverage,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Under 6 years:,Margin of Error!!Total:!!Female:!!Under 6 years:,Estimate!!Total:!!Female:!!Under 6 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!Under 6 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!Under 6 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!Under 6 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!6 to 18 years:,Margin of Error!!Total:!!Female:!!6 to 18 years:,Estimate!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!6 to 18 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!6 to 18 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!19 to 25 years:,Margin of Error!!Total:!!Female:!!19 to 25 years:,Estimate!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!19 to 25 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!19 to 25 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!26 to 34 years:,Margin of Error!!Total:!!Female:!!26 to 34 years:,Estimate!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!26 to 34 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!26 to 34 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!35 to 44 years:,Margin of Error!!Total:!!Female:!!35 to 44 years:,Estimate!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!35 to 44 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!35 to 44 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!45 to 54 years:,Margin of Error!!Total:!!Female:!!45 to 54 years:,Estimate!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!45 to 54 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!45 to 54 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!55 to 64 years:,Margin of Error!!Total:!!Female:!!55 to 64 years:,Estimate!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!55 to 64 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!55 to 64 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!65 to 74 years:,Margin of Error!!Total:!!Female:!!65 to 74 years:,Estimate!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!65 to 74 years:!!With health insurance coverage,Estimate!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!65 to 74 years:!!No health insurance coverage,Estimate!!Total:!!Female:!!75 years and over:,Margin of Error!!Total:!!Female:!!75 years and over:,Estimate!!Total:!!Female:!!75 years and over:!!With health insurance coverage,Margin of Error!!Total:!!Female:!!75 years and over:!!With health insurance coverage,Estimate!!Total:!!Female:!!75 years and over:!!No health insurance coverage,Margin of Error!!Total:!!Female:!!75 years and over:!!No health insurance coverage
0500000US34001,"Atlantic County, New Jersey",261340,763,127236,1281,8615,1594,8615,1594,0,213,21786,1419,21079,1543,707,535,12002,1194,9621,1306,2381,995,13760,1285,11632,1351,2128,1154,15369,1114,12258,1380,3111,1106,15297,1007,13470,1110,1827,808,18903,203,17340,594,1563,538,13512,565,13192,653,320,305,7992,700,7992,700,0,213,134104,929,7541,965,7214,952,327,373,20435,794,19778,791,657,480,12831,1208,12041,1358,790,588,12747,1058,10429,1215,2318,981,16013,398,13030,1028,2983,1061,17327,350,15981,578,1346,607,20808,120,19156,844,1652,828,15303,479,14757,597,546,509,11099,537,11099,537,0,213
0500000US34003,"Bergen County, New Jersey",926661,1380,449738,1560,29164,1466,28447,1544,717,429,76514,1716,74318,2164,2196,916,39724,2082,35484,2288,4240,1259,46253,1733,39686,2102,6567,1647,60430,706,54000,2014,6430,1897,63661,745,56878,1558,6783,1526,63774,314,57790,1213,5984,1187,42292,452,42111,515,181,266,27926,735,27392,935,534,556,476923,1658,29772,1709,28980,1765,792,621,71329,1794,68844,1831,2485,949,35546,1814,32264,2140,3282,1305,49715,1487,44158,1961,5557,1322,63109,183,57898,1370,5211,1395,68083,84,63133,1064,4950,1059,68855,349,62096,1753,6759,1702,47921,109,47204,476,717,459,42593,843,41689,965,904,556
0500000US34005,"Burlington County, New Jersey",427352,2073,204501,1913,15006,905,14823,915,183,208,33652,1310,32629,1385,1023,545,16854,1326,15919,1416,935,542,22139,1325,19314,1316,2825,990,24108,855,22510,997,1598,706,28735,445,26746,968,1989,873,31360,242,29682,741,1678,680,19603,423,19456,460,147,176,13044,471,13044,471,0,213,222851,895,13170,698,12825,718,345,318,34554,1145,33303,1229,1251,689,17210,1085,15398,1224,1812,906,23033,747,21675,976,1358,722,27285,244,25370,831,1915,809,31352,147,29970,657,1382,633,33888,198,32756,608,1132,581,23633,232,23578,235,55,71,18726,603,18685,604,41,68
0500000US34007,"Camden County, New Jersey",500794,1280,240993,1128,18290,872,17561,800,729,698,43468,1516,42672,1645,796,525,19470,1553,17062,1538,2408,906,31982,987,26648,1356,5334,1179,30812,383,27422,1085,3390,1080,30696,398,27955,1148,2741,1037,32173,507,29520,1190,2653,911,20827,260,20708,323,119,153,13275,189,13275,189,0,213,259801,909,18024,1471,17898,1488,126,145,40497,1607,39090,1743,1407,1016,19778,1467,18050,1594,1728,790,32717,1097,29728,1474,2989,1056,33341,185,29563,1061,3778,1079,34207,137,31977,999,2230,968,35860,308,34256,732,1604,643,25798,430,25798,430,0,213,19579,583,19523,577,56,114
0500000US34009,"Cape May County, New Jersey",89890,763,43285,1147,2461,525,2461,525,0,213,6399,749,6228,717,171,196,2685,605,2031,477,654,514,3718,592,3129,667,589,380,4274,819,3357,726,917,611,5725,850,4996,896,729,747,7278,346,6687,551,591,448,6489,114,6489,114,0,213,4256,218,4256,218,0,213,46605,1090,2179,401,2055,432,124,151,5792,442,5767,444,25,46,3133,787,3133,787,0,213,4377,536,3732,648,645,427,4161,501,3645,481,516,372,5149,431,4572,310,577,404,8558,455,8083,556,475,358,7434,314,7345,350,89,147,5822,315,5822,315,0,213
0500000US34011,"Cumberland County, New Jersey",138420,1712,67352,1761,5181,973,4708,1007,473,572,15491,1328,15164,1349,327,321,5434,671,3984,881,1450,744,8213,1463,6108,1403,2105,697,7724,1312,6039,1185,1685,917,7738,1208,6472,1180,1266,701,8215,431,7939,485,276,289,6076,463,5671,533,405,434,3280,492,3280,492,0,213,71068,844,5526,1107,5494,1107,32,43,11462,1293,11356,1271,106,185,6285,1291,5086,1452,1199,678,7683,1093,6514,1072,1169,604,8532,421,6903,862,1629,795,9368,143,8784,507,584,467,9473,160,9197,270,276,237,7342,454,7342,454,0,213,5397,392,5397,392,0,213
0500000US34013,"Essex County, New Jersey",786886,1838,375439,1672,32093,1375,30889,1439,1204,737,69036,1611,64133,2060,4903,1553,34418,1503,27733,1993,6685,1668,46751,1329,35840,2676,10911,2278,52224,472,41624,1748,10600,1638,51948,519,44069,1682,7879,1639,45376,377,40926,1283,4450,1186,26842,449,26222,570,620,421,16751,405,16681,427,70,108,411447,803,30092,1293,29057,1406,1035,553,67566,1568,63185,2088,4381,1563,34678,1746,29746,1878,4932,1724,50657,1343,43191,2168,7466,1637,57225,3,47985,1697,9240,1697,56459,399,48090,1587,8369,1577,51324,192,45350,1212,5974,1218,35542,327,34936,486,606,383,27904,496,27498,625,406,316
0500000US34015,"Gloucester County, New Jersey",290289,561,140852,813,10210,1043,9605,1070,605,423,23397,1276,22426,1617,971,1001,13165,1045,12632,1072,533,464,15885,1133,14317,1343,1568,838,17708,875,16317,1109,1391,676,19708,596,18662,492,1046,719,20636,310,19894,471,742,353,12863,454,12863,454,0,213,7280,360,7214,388,66,108,149437,887,8842,657,8367,691,475,529,24185,739,22790,924,1395,872,12271,847,11264,1122,1007,579,15759,886,14860,1099,899,610,19287,679,18344,829,943,521,21057,633,20698,705,359,256,21462,254,20910,422,552,291,15389,281,15156,413,233,261,11185,393,11114,403,71,118
0500000US34017,"Hudson County, New Jersey",667039,1431,331246,1522,27768,1221,27282,1190,486,403,44468,1755,40782,2192,3686,1492,31135,1674,22813,2222,8322,1807,64191,1383,52823,2209,11368,1955,55398,851,44137,1952,11261,1713,40092,488,34239,1593,5853,1487,34394,213,29656,1080,4738,1085,20750,639,20157,796,593,413,13050,501,13050,501,0,213,335793,1002,26137,1075,25568,1112,569,372,44864,1791,42489,2353,2375,1458,27162,1485,21756,1641,5406,1108,63079,1246,55176,1729,7903,1677,51227,3,42694,1642,8533,1642,40154,5,33818,1293,6336,1293,37195,192,32229,1189,4966,1238,25885,295,24924,583,961,551,20090,447,19873,536,217,272
