"GEO_ID","NAME","B27007_001E","B27007_001M","B27007_002E","B27007_002M","B27007_003E","B27007_003M","B27007_004E","B27007_004M","B27007_005E","B27007_005M","B27007_006E","B27007_006M","B27007_007E","B27007_007M","B27007_008E","B27007_008M","B27007_009E","B27007_009M","B27007_010E","B27007_010M","B27007_011E","B27007_011M","B27007_012E","B27007_012M","B27007_013E","B27007_013M","B27007_014E","B27007_014M","B27007_015E","B27007_015M","B27007_016E","B27007_016M","B27007_017E","B27007_017M","B27007_018E","B27007_018M","B27007_019E","B27007_019M","B27007_020E","B27007_020M","B27007_021E","B27007_021M","B27007_022E","B27007_022M","B27007_023E","B27007_023M","B27007_024E","B27007_024M","B27007_025E","B27007_025M","B27007_026E","B27007_026M","B27007_027E","B27007_027M","B27007_028E","B27007_028M","B27007_029E","B27007_029M","B27007_030E","B27007_030M","B27007_031E","B27007_031M","B27007_032E","B27007_032M","B27007_033E","B27007_033M","B27007_034E","B27007_034M","B27007_035E","B27007_035M","B27007_036E","B27007_036M","B27007_037E","B27007_037M","B27007_038E","B27007_038M","B27007_039E","B27007_039M","B27007_040E","B27007_040M","B27007_041E","B27007_041M","B27007_042E","B27007_042M","B27007_043E","B27007_043M","B27007_044E","B27007_044M","B27007_045E","B27007_045M","B27007_046E","B27007_046M","B27007_047E","B27007_047M","B27007_048E","B27007_048M","B27007_049E","B27007_049M","B27007_050E","B27007_050M","B27007_051E","B27007_051M","B27007_052E","B27007_052M","B27007_053E","B27007_053M","B27007_054E","B27007_054M","B27007_055E","B27007_055M","B27007_056E","B27007_056M","B27007_057E","B27007_057M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 6 years","Margin of Error!!Total!!Male!!Under 6 years","Estimate!!Total!!Male!!Under 6 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!Under 6 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!Under 6 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!Under 6 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!6 to 17 years","Margin of Error!!Total!!Male!!6 to 17 years","Estimate!!Total!!Male!!6 to 17 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!6 to 17 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!6 to 17 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!6 to 17 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!18 to 24 years","Margin of Error!!Total!!Male!!18 to 24 years","Estimate!!Total!!Male!!18 to 24 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!18 to 24 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!18 to 24 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!18 to 24 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!25 to 34 years","Margin of Error!!Total!!Male!!25 to 34 years","Estimate!!Total!!Male!!25 to 34 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!25 to 34 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!25 to 34 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!25 to 34 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!35 to 44 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!35 to 44 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!35 to 44 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!35 to 44 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!45 to 54 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!45 to 54 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!45 to 54 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!45 to 54 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!55 to 64 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!55 to 64 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!55 to 64 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!55 to 64 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!65 to 74 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!65 to 74 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!65 to 74 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!65 to 74 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Male!!75 years and over","Margin of Error!!Total!!Male!!75 years and over","Estimate!!Total!!Male!!75 years and over!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!75 years and over!!With Medicaid/means-tested public coverage","Estimate!!Total!!Male!!75 years and over!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Male!!75 years and over!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 6 years","Margin of Error!!Total!!Female!!Under 6 years","Estimate!!Total!!Female!!Under 6 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!Under 6 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!Under 6 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!Under 6 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!6 to 17 years","Margin of Error!!Total!!Female!!6 to 17 years","Estimate!!Total!!Female!!6 to 17 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!6 to 17 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!6 to 17 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!6 to 17 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!18 to 24 years","Margin of Error!!Total!!Female!!18 to 24 years","Estimate!!Total!!Female!!18 to 24 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!18 to 24 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!18 to 24 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!18 to 24 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!25 to 34 years","Margin of Error!!Total!!Female!!25 to 34 years","Estimate!!Total!!Female!!25 to 34 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!25 to 34 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!25 to 34 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!25 to 34 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!35 to 44 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!35 to 44 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!35 to 44 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!35 to 44 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!45 to 54 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!45 to 54 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!45 to 54 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!45 to 54 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!55 to 64 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!55 to 64 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!55 to 64 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!55 to 64 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!65 to 74 years!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!65 to 74 years!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!65 to 74 years!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!65 to 74 years!!No Medicaid/means-tested public coverage","Estimate!!Total!!Female!!75 years and over","Margin of Error!!Total!!Female!!75 years and over","Estimate!!Total!!Female!!75 years and over!!With Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!75 years and over!!With Medicaid/means-tested public coverage","Estimate!!Total!!Female!!75 years and over!!No Medicaid/means-tested public coverage","Margin of Error!!Total!!Female!!75 years and over!!No Medicaid/means-tested public coverage"
"0500000US34001","Atlantic County, New Jersey","271263","862","130063","1011","9700","783","5745","1038","3955","969","20583","741","9136","1322","11447","1379","13002","453","1504","796","11498","913","15801","476","2896","874","12905","854","15199","680","2652","790","12547","908","18400","605","2821","622","15579","873","18442","120","2834","690","15608","721","11670","680","1048","461","10622","776","7266","660","838","390","6428","709","141200","761","9493","811","4160","809","5333","1011","20293","775","7886","1533","12407","1744","12964","476","3358","862","9606","942","16051","507","4994","758","11057","994","17160","368","3485","886","13675","954","20670","190","3485","795","17185","783","20138","199","2365","611","17773","636","13249","528","1642","566","11607","759","11182","531","1465","487","9717","649"
"0500000US34003","Bergen County, New Jersey","932626","1281","452427","860","31236","1221","6002","1473","25234","1627","71346","1201","11914","1861","59432","2009","38759","151","3727","1194","35032","1186","54402","340","3478","954","50924","979","61114","269","3368","990","57746","1027","69978","271","4128","876","65850","966","61128","168","5564","1088","55564","1091","37845","235","2478","673","35367","669","26619","444","2091","524","24528","670","480199","730","30897","1454","5090","1146","25807","1753","67684","1444","11234","1711","56450","1890","37446","96","3861","985","33585","995","54810","170","6071","1155","48739","1174","64536","178","4894","1220","59642","1219","74264","123","6657","1292","67607","1275","66622","225","5853","1049","60769","1082","43986","307","3872","873","40114","951","39954","622","5848","1127","34106","1127"
"0500000US34005","Burlington County, New Jersey","434898","1859","208994","1725","14753","880","3854","921","10899","1252","33655","910","6806","1322","26849","1510","19253","792","2014","732","17239","1057","24342","879","3003","654","21339","949","24399","637","3454","1046","20945","1215","33251","390","2408","640","30843","743","29401","385","3010","792","26391","836","17726","586","1294","444","16432","730","12214","532","1557","582","10657","664","225904","970","13636","739","4520","779","9116","1085","33491","756","7821","1492","25670","1521","17276","381","1775","762","15501","834","26126","299","4874","1085","21252","1152","28222","177","3627","917","24595","930","35576","221","4767","966","30809","987","32053","156","2750","773","29303","790","21580","268","1795","778","19785","832","17944","559","1856","686","16088","835"
"0500000US34007","Camden County, New Jersey","504967","1157","242748","940","19816","975","8231","1234","11585","1113","40487","1028","15047","1593","25440","1693","21805","301","3924","905","17881","920","34243","314","5908","1236","28335","1288","30771","325","3550","1057","27221","1110","34387","308","4182","900","30205","955","31041","315","3791","774","27250","836","18951","336","1788","602","17163","683","11247","573","1819","553","9428","792","262219","608","18887","865","7983","1168","10904","1346","38767","905","12382","1913","26385","1800","21534","91","5705","868","15829","878","34857","394","8249","1319","26608","1317","33370","195","5661","1137","27709","1142","37644","180","5498","1058","32146","1025","35260","144","5751","997","29509","988","23122","368","2837","629","20285","700","18778","329","3253","628","15525","644"
"0500000US34009","Cape May County, New Jersey","92405","957","44968","1006","2820","446","1099","621","1721","721","5966","577","1656","939","4310","917","3096","695","375","350","2721","610","4579","477","528","371","4051","642","4544","611","476","273","4068","623","6581","443","1263","566","5318","603","7146","398","700","457","6446","526","6270","140","529","327","5741","380","3966","81","434","180","3532","193","47437","718","2114","382","670","363","1444","537","5762","433","1646","602","4116","791","2901","401","560","418","2341","318","4521","463","553","318","3968","545","4599","530","906","635","3693","585","6725","489","1101","723","5624","744","7942","301","860","419","7082","503","7177","336","360","201","6817","402","5696","417","615","248","5081","440"
"0500000US34011","Cumberland County, New Jersey","143821","1781","69493","1844","6679","755","4388","942","2291","601","12207","961","6117","1224","6090","1229","6564","356","1006","535","5558","584","9227","812","2400","846","6827","944","9648","821","1615","623","8033","813","8239","673","1600","577","6639","836","8420","378","1331","601","7089","629","5170","479","445","287","4725","512","3339","509","578","367","2761","450","74328","666","5611","356","3807","749","1804","608","11995","655","5726","1147","6269","1259","6094","153","1473","617","4621","619","9735","355","3284","888","6451","921","9667","297","2203","728","7464","733","10037","122","1820","582","8217","572","9304","151","2246","552","7058","608","6284","446","1059","606","5225","578","5601","521","1086","573","4515","535"
"0500000US34013","Essex County, New Jersey","785533","2076","374467","1916","31081","957","14260","1685","16821","1576","65566","959","26633","2451","38933","2456","36783","707","7192","1477","29591","1509","49917","702","6633","1492","43284","1406","53216","621","7889","1716","45327","1829","54946","517","7249","1294","47697","1401","43634","318","5985","1083","37649","1080","24703","513","3719","909","20984","1010","14621","520","2857","704","11764","769","411066","778","30192","1058","15460","1557","14732","1588","64056","1163","24417","1868","39639","1893","36597","426","9681","1519","26916","1598","55045","289","14203","1422","40842","1424","57757","101","12140","1655","45617","1670","59085","266","9676","1641","49409","1665","50773","169","9640","1343","41133","1340","31578","613","5940","1038","25638","1189","25983","771","6149","1041","19834","1162"
"0500000US34015","Gloucester County, New Jersey","290326","528","141480","907","9419","875","3049","888","6370","935","24174","711","4410","1132","19764","1350","14179","818","2502","844","11677","1218","16623","937","1734","629","14889","1037","18655","875","1324","538","17331","1044","21129","449","2314","799","18815","772","19404","314","2161","637","17243","759","11386","433","1547","557","9839","577","6511","471","691","324","5820","498","148846","986","9408","929","2046","827","7362","1113","22883","594","4419","1051","18464","1138","12278","544","2093","731","10185","741","17925","881","3512","969","14413","929","20162","971","3015","1001","17147","1194","22229","408","3232","903","18997","953","20825","379","2517","667","18308","740","13605","455","1252","436","12353","659","9531","546","1361","418","8170","622"
"0500000US34017","Hudson County, New Jersey","671228","1047","333664","1040","27352","783","12191","1616","15161","1621","42354","774","23517","1927","18837","1836","30708","302","9177","1784","21531","1853","72224","266","7481","1329","64743","1349","54717","230","7543","1366","47174","1367","42649","214","6439","1307","36210","1331","33713","274","5737","1056","27976","1084","18490","359","4081","837","14409","893","11457","407","3368","682","8089","752","337564","721","27675","1025","12795","1807","14880","1684","38870","1027","20902","1967","17968","1956","28091","133","6363","1311","21728","1319","68987","77","11823","1463","57164","1454","51092","345","10408","1393","40684","1419","43848","430","10027","1479","33821","1477","37519","98","6717","1383","30802","1383","23308","219","5545","1151","17763","1113","18174","492","6377","942","11797","930"
