"B27007_001E","B27007_001M","B27007_002E","B27007_002M","B27007_003E","B27007_003M","B27007_004E","B27007_004M","B27007_005E","B27007_005M","B27007_006E","B27007_006M","B27007_007E","B27007_007M","B27007_008E","B27007_008M","B27007_009E","B27007_009M","B27007_010E","B27007_010M","B27007_011E","B27007_011M","B27007_012E","B27007_012M","B27007_013E","B27007_013M","B27007_014E","B27007_014M","B27007_015E","B27007_015M","B27007_016E","B27007_016M","B27007_017E","B27007_017M","B27007_018E","B27007_018M","B27007_019E","B27007_019M","B27007_020E","B27007_020M","B27007_021E","B27007_021M","B27007_022E","B27007_022M","B27007_023E","B27007_023M","B27007_024E","B27007_024M","B27007_025E","B27007_025M","B27007_026E","B27007_026M","B27007_027E","B27007_027M","B27007_028E","B27007_028M","B27007_029E","B27007_029M","B27007_030E","B27007_030M","B27007_031E","B27007_031M","B27007_032E","B27007_032M","B27007_033E","B27007_033M","B27007_034E","B27007_034M","B27007_035E","B27007_035M","B27007_036E","B27007_036M","B27007_037E","B27007_037M","B27007_038E","B27007_038M","B27007_039E","B27007_039M","B27007_040E","B27007_040M","B27007_041E","B27007_041M","B27007_042E","B27007_042M","B27007_043E","B27007_043M","B27007_044E","B27007_044M","B27007_045E","B27007_045M","B27007_046E","B27007_046M","B27007_047E","B27007_047M","B27007_048E","B27007_048M","B27007_049E","B27007_049M","B27007_050E","B27007_050M","B27007_051E","B27007_051M","B27007_052E","B27007_052M","B27007_053E","B27007_053M","B27007_054E","B27007_054M","B27007_055E","B27007_055M","B27007_056E","B27007_056M","B27007_057E","B27007_057M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 6 years:","Margin of Error!!Total:!!Male:!!Under 6 years:","Estimate!!Total:!!Male:!!Under 6 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!Under 6 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!Under 6 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!6 to 18 years:","Margin of Error!!Total:!!Male:!!6 to 18 years:","Estimate!!Total:!!Male:!!6 to 18 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!6 to 18 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!6 to 18 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!19 to 25 years:","Margin of Error!!Total:!!Male:!!19 to 25 years:","Estimate!!Total:!!Male:!!19 to 25 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!19 to 25 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!19 to 25 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!26 to 34 years:","Margin of Error!!Total:!!Male:!!26 to 34 years:","Estimate!!Total:!!Male:!!26 to 34 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!26 to 34 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!26 to 34 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!35 to 44 years:","Margin of Error!!Total:!!Male:!!35 to 44 years:","Estimate!!Total:!!Male:!!35 to 44 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!35 to 44 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!35 to 44 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!45 to 54 years:","Margin of Error!!Total:!!Male:!!45 to 54 years:","Estimate!!Total:!!Male:!!45 to 54 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!45 to 54 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!45 to 54 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!55 to 64 years:","Margin of Error!!Total:!!Male:!!55 to 64 years:","Estimate!!Total:!!Male:!!55 to 64 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!55 to 64 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!55 to 64 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!65 to 74 years:","Margin of Error!!Total:!!Male:!!65 to 74 years:","Estimate!!Total:!!Male:!!65 to 74 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!65 to 74 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!65 to 74 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!75 years and over:","Margin of Error!!Total:!!Male:!!75 years and over:","Estimate!!Total:!!Male:!!75 years and over:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Male:!!75 years and over:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Male:!!75 years and over:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 6 years:","Margin of Error!!Total:!!Female:!!Under 6 years:","Estimate!!Total:!!Female:!!Under 6 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!Under 6 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!Under 6 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!6 to 18 years:","Margin of Error!!Total:!!Female:!!6 to 18 years:","Estimate!!Total:!!Female:!!6 to 18 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!6 to 18 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!6 to 18 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!19 to 25 years:","Margin of Error!!Total:!!Female:!!19 to 25 years:","Estimate!!Total:!!Female:!!19 to 25 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!19 to 25 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!19 to 25 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!26 to 34 years:","Margin of Error!!Total:!!Female:!!26 to 34 years:","Estimate!!Total:!!Female:!!26 to 34 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!26 to 34 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!26 to 34 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!35 to 44 years:","Margin of Error!!Total:!!Female:!!35 to 44 years:","Estimate!!Total:!!Female:!!35 to 44 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!35 to 44 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!35 to 44 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!45 to 54 years:","Margin of Error!!Total:!!Female:!!45 to 54 years:","Estimate!!Total:!!Female:!!45 to 54 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!45 to 54 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!45 to 54 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!55 to 64 years:","Margin of Error!!Total:!!Female:!!55 to 64 years:","Estimate!!Total:!!Female:!!55 to 64 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!55 to 64 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!55 to 64 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!65 to 74 years:","Margin of Error!!Total:!!Female:!!65 to 74 years:","Estimate!!Total:!!Female:!!65 to 74 years:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!65 to 74 years:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!65 to 74 years:!!No Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!75 years and over:","Margin of Error!!Total:!!Female:!!75 years and over:","Estimate!!Total:!!Female:!!75 years and over:!!With Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!With Medicaid/means-tested public coverage","Estimate!!Total:!!Female:!!75 years and over:!!No Medicaid/means-tested public coverage","Margin of Error!!Total:!!Female:!!75 years and over:!!No Medicaid/means-tested public coverage","id","Geographic Area Name"
"261340","763","127236","1281","8615","1594","4753","1680","3862","1506","21786","1419","10925","1900","10861","1784","12002","1194","1699","819","10303","1251","13760","1285","2595","957","11165","1403","15369","1114","2213","911","13156","1036","15297","1007","1936","807","13361","1179","18903","203","1858","774","17045","794","13512","565","926","495","12586","660","7992","700","1206","487","6786","699","134104","929","7541","965","3328","1090","4213","820","20435","794","9315","1414","11120","1667","12831","1208","2966","1058","9865","1318","12747","1058","2392","842","10355","1237","16013","398","3256","938","12757","995","17327","350","3061","940","14266","975","20808","120","2325","767","18483","767","15303","479","1624","707","13679","906","11099","537","1539","554","9560","709","0500000US34001","Atlantic County, New Jersey"
"926661","1380","449738","1560","29164","1466","5145","1311","24019","1861","76514","1716","15175","2319","61339","2768","39724","2082","4632","1665","35092","2637","46253","1733","3702","1133","42551","1618","60430","706","4039","1161","56391","1367","63661","745","4585","1382","59076","1518","63774","314","4960","1350","58814","1424","42292","452","3732","946","38560","1030","27926","735","2839","769","25087","919","476923","1658","29772","1709","5923","1423","23849","1913","71329","1794","13029","2560","58300","3356","35546","1814","4955","1564","30591","1815","49715","1487","4715","1131","45000","1493","63109","183","4520","1162","58589","1175","68083","84","6144","1380","61939","1370","68855","349","5920","1286","62935","1308","47921","109","4902","1083","43019","1064","42593","843","5984","1288","36609","1537","0500000US34003","Bergen County, New Jersey"
"427352","2073","204501","1913","15006","905","2912","818","12094","1044","33652","1310","6425","1247","27227","1654","16854","1326","2593","1012","14261","1449","22139","1325","1774","760","20365","1376","24108","855","2325","722","21783","1121","28735","445","1828","523","26907","753","31360","242","2594","782","28766","771","19603","423","1733","575","17870","644","13044","471","1082","512","11962","706","222851","895","13170","698","3107","958","10063","1123","34554","1145","7831","1869","26723","2054","17210","1085","1294","578","15916","1217","23033","747","2905","783","20128","1057","27285","244","3160","1003","24125","1011","31352","147","2244","769","29108","773","33888","198","3606","855","30282","925","23633","232","1756","616","21877","663","18726","603","2168","712","16558","886","0500000US34005","Burlington County, New Jersey"
"500794","1280","240993","1128","18290","872","7976","1179","10314","1256","43468","1516","17317","2622","26151","2695","19470","1553","2540","1006","16930","1650","31982","987","5514","1403","26468","1509","30812","383","3766","1278","27046","1337","30696","398","5434","1238","25262","1243","32173","507","5969","1236","26204","1324","20827","260","2361","585","18466","638","13275","189","1531","523","11744","552","259801","909","18024","1471","8361","1680","9663","1115","40497","1607","14357","2189","26140","2143","19778","1467","4053","1149","15725","1535","32717","1097","8191","1297","24526","1667","33341","185","5756","1528","27585","1553","34207","137","6347","1237","27860","1238","35860","308","6220","1046","29640","1084","25798","430","3422","821","22376","802","19579","583","2742","707","16837","913","0500000US34007","Camden County, New Jersey"
"89890","763","43285","1147","2461","525","882","449","1579","718","6399","749","3333","920","3066","828","2685","605","636","360","2049","705","3718","592","1229","771","2489","692","4274","819","474","499","3800","597","5725","850","599","450","5126","914","7278","346","1053","494","6225","541","6489","114","618","365","5871","379","4256","218","433","220","3823","305","46605","1090","2179","401","813","360","1366","411","5792","442","2332","634","3460","511","3133","787","1697","930","1436","674","4377","536","1168","553","3209","760","4161","501","560","336","3601","530","5149","431","150","162","4999","466","8558","455","797","499","7761","600","7434","314","390","274","7044","343","5822","315","800","437","5022","482","0500000US34009","Cape May County, New Jersey"
"138420","1712","67352","1761","5181","973","3619","994","1562","797","15491","1328","9106","1480","6385","1515","5434","671","1348","774","4086","872","8213","1463","1635","707","6578","1413","7724","1312","1368","919","6356","1361","7738","1208","1656","945","6082","1147","8215","431","2189","746","6026","804","6076","463","655","322","5421","573","3280","492","220","203","3060","529","71068","844","5526","1107","3364","871","2162","1055","11462","1293","5715","1154","5747","1161","6285","1291","1434","858","4851","1131","7683","1093","3064","1069","4619","1028","8532","421","1579","764","6953","804","9368","143","2146","658","7222","673","9473","160","2028","708","7445","682","7342","454","613","291","6729","487","5397","392","1130","584","4267","658","0500000US34011","Cumberland County, New Jersey"
"786886","1838","375439","1672","32093","1375","14719","1959","17374","1887","69036","1611","27775","2986","41261","2572","34418","1503","7557","1642","26861","1895","46751","1329","6019","1591","40732","1866","52224","472","6165","1516","46059","1566","51948","519","6926","1458","45022","1498","45376","377","7065","1417","38311","1366","26842","449","4360","906","22482","1031","16751","405","3079","740","13672","811","411447","803","30092","1293","12206","1749","17886","2191","67566","1568","22950","2608","44616","2625","34678","1746","9689","1856","24989","2453","50657","1343","13053","1889","37604","2088","57225","3","12546","1717","44679","1717","56459","399","9491","1462","46968","1486","51324","192","8062","1292","43262","1291","35542","327","5744","1095","29798","1176","27904","496","5798","1048","22106","1112","0500000US34013","Essex County, New Jersey"
"290289","561","140852","813","10210","1043","2066","661","8144","1122","23397","1276","4958","1105","18439","1392","13165","1045","1260","734","11905","1209","15885","1133","1350","500","14535","1249","17708","875","1745","835","15963","1131","19708","596","2079","796","17629","949","20636","310","2408","694","18228","728","12863","454","1557","603","11306","731","7280","360","526","271","6754","405","149437","887","8842","657","1926","527","6916","784","24185","739","4973","1275","19212","1338","12271","847","1416","696","10855","964","15759","886","2872","859","12887","972","19287","679","1586","731","17701","880","21057","633","2421","842","18636","952","21462","254","2610","643","18852","672","15389","281","1619","735","13770","821","11185","393","1279","511","9906","620","0500000US34015","Gloucester County, New Jersey"
"667039","1431","331246","1522","27768","1221","9962","1861","17806","2065","44468","1755","23792","2610","20676","2583","31135","1674","3758","1025","27377","1805","64191","1383","4022","959","60169","1480","55398","851","4974","1032","50424","1271","40092","488","6925","1696","33167","1557","34394","213","5547","1117","28847","1128","20750","639","3745","1001","17005","1169","13050","501","2848","797","10202","844","335793","1002","26137","1075","11241","1802","14896","1754","44864","1791","21211","2603","23653","2724","27162","1485","6422","1268","20740","1640","63079","1246","7319","1500","55760","1779","51227","3","8780","1545","42447","1545","40154","5","7767","1489","32387","1489","37195","192","8467","1434","28728","1480","25885","295","7033","1158","18852","1207","20090","447","6301","1170","13789","1151","0500000US34017","Hudson County, New Jersey"
