GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",264403,*****,127870,933,9160,301,9053,1213,10156,1225,5753,605,3441,790,1566,683,1681,726,3838,866,6848,466,9193,431,9070,1405,11493,1394,10742,422,8569,456,8233,1065,1467,401,3584,910,1471,372,1871,532,3581,543,4068,883,2253,794,779,401,136533,933,8658,321,8477,1141,10162,1140,5937,593,2697,508,1675,852,2127,799,3821,950,8244,304,9463,104,8857,1079,12535,940,11065,444,9085,480,7067,1005,2704,767,4377,891,1896,481,3198,760,4083,509,3840,843,2965,823,3600,1139
0500000US34003,34003,"Bergen County, New Jersey",891237,*****,431092,873,26508,689,32267,2669,28846,2653,18285,308,9682,875,5486,1050,4282,1148,15286,1395,21435,4,26045,604,32110,2394,39874,2435,36865,2,31462,108,28913,1761,8001,1239,12496,1427,6749,973,9324,1294,12370,1142,11486,1004,7899,1007,5421,907,460145,873,26236,714,26980,2136,31634,2181,17952,309,10461,658,4451,1123,3801,1111,12847,1578,21134,3,27228,4,35765,2533,38800,2532,39092,165,33946,4,30299,1713,10605,1520,14438,1463,8966,1358,9040,1330,16120,1339,17275,1728,12359,1516,10716,1458
0500000US34005,34005,"Burlington County, New Jersey",436706,*****,211618,513,13735,293,13798,1486,17152,1487,10273,237,4885,460,1638,613,2941,734,8362,981,11739,368,13714,400,16230,1858,18604,1758,18471,740,14407,258,12830,1055,4315,916,5849,825,2291,603,3371,666,6731,702,5735,850,2834,681,1713,497,225088,513,13482,292,15621,1390,14472,1384,9628,227,4824,207,2417,661,2107,800,8286,933,12103,430,14270,105,17229,1946,20285,1841,18541,438,15691,309,14458,1129,4399,804,6211,995,3342,638,4667,812,7312,854,7202,1060,5130,875,3411,645
0500000US34007,34007,"Camden County, New Jersey",507843,*****,244426,294,17675,4,18715,1543,19735,1532,12437,231,7640,513,3408,948,2657,1096,10642,1143,13689,342,15329,193,17735,1697,19581,1697,19511,407,16495,381,15371,1159,4031,871,5351,963,3346,639,3700,779,6166,723,5396,798,3700,702,2116,555,263417,294,17332,2,16347,1378,19973,1377,12263,231,6630,230,2890,864,2670,743,10871,1139,15147,2,16258,2,18741,1640,21831,1644,20969,65,18603,81,14888,1560,4122,970,8607,1472,3477,791,5643,841,7352,898,8463,1162,6165,980,4175,779
0500000US34009,34009,"Cape May County, New Jersey",96630,*****,46488,405,2679,417,2319,658,3785,841,2350,292,1221,250,536,425,478,238,1504,482,2583,280,2227,180,3022,573,2693,592,3962,417,3273,146,3039,506,820,326,1613,459,1068,342,1107,324,2187,453,2527,383,978,320,517,232,50142,405,2074,193,2693,688,3285,780,1924,150,1216,236,516,310,161,144,2039,445,2373,193,2217,57,2535,662,4131,746,3951,239,3486,202,3220,509,1184,296,2026,395,1310,463,1290,400,2600,426,2085,579,2442,585,1384,494
0500000US34011,34011,"Cumberland County, New Jersey",139968,*****,68013,483,5460,111,3931,714,6574,717,3810,488,1971,678,397,213,631,402,3049,684,5217,552,3475,647,4090,1125,6612,969,4664,410,4167,413,4164,583,875,382,1834,553,817,367,1405,405,1842,508,1758,370,480,339,790,336,71955,483,5354,53,5504,1123,4571,1126,2951,488,1586,424,1371,667,263,165,2908,530,4584,103,4889,204,5000,810,4898,811,5285,230,4471,250,4457,711,1263,540,2137,497,1073,345,981,373,2747,460,2298,556,2225,597,1139,400
0500000US34013,34013,"Essex County, New Jersey",769628,*****,365693,456,31011,4,31683,2266,27669,2276,17675,295,9966,327,3660,1015,4219,1422,15760,1557,23572,243,23760,2,28331,1782,28131,1820,27954,84,23292,3,21233,1513,4981,1059,8902,1517,5048,1126,6108,1001,7537,1208,7095,977,4334,959,3772,869,403935,456,29679,4,29155,2162,27432,2163,16980,286,9898,201,4003,1071,5454,1301,15194,1774,24276,89,26474,3,30915,2450,31792,2437,31037,242,27557,320,22426,1878,7930,1260,12453,2057,4523,1016,7114,1225,13587,1567,9963,1338,9093,1350,7000,1031
0500000US34015,34015,"Gloucester County, New Jersey",271709,*****,131756,510,8666,161,8750,1302,10841,1312,6263,307,3643,413,1137,388,1926,658,6344,922,7671,560,8271,710,10944,1297,10534,1181,11084,115,9472,340,7841,961,2002,554,3452,619,1514,339,2563,601,3094,506,3289,626,1795,558,660,293,139953,510,7779,161,8112,1157,10591,1153,6654,603,3103,189,2445,893,1486,638,4981,996,9356,666,8575,389,10594,1281,12556,1338,11327,155,10372,504,8229,826,2128,557,3863,599,2136,563,3282,554,3443,762,3740,735,3136,741,2065,472
0500000US34017,34017,"Hudson County, New Jersey",594071,*****,292469,261,22041,2,18486,2073,19893,2044,11456,4,6904,388,4646,1145,4484,1128,10523,1331,24276,3,28679,166,25904,2446,26897,2446,20723,4,17125,4,13279,1408,3599,964,8121,1293,3274,990,4166,1039,7090,1255,6126,901,2955,784,1822,713,301602,261,21107,7,17817,2030,18570,2030,10962,2,6889,547,2578,683,3322,993,12940,1201,22210,3,26950,4,24583,2503,25308,2505,21571,98,18949,189,14866,1623,6273,1297,8196,1305,4661,1015,5484,1088,8394,1350,8077,1180,7001,1435,4894,1382
