Query Criteria for the Count Measure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year Filter:,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",,,,,,,,,,,,,
State of Occurrence Filter:,New Jersey,,,,,,,,,,,,,
Data Grouped By:,"County of Residence, Year",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data Table of Count by Year and County of Residence,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County of Residence,Year,,,,,,,,,,,,,Total
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Total,"108,431","109,422","110,185","106,940","104,530","101,391","100,516","98,933","97,479","98,257","97,900","97,339","95,949","1,327,272"
Record Count: 21,,,,,,,,,,,,,,
Atlantic,"3,547","3,575","3,557","3,580","3,612","3,239","3,435","3,231","3,121","3,054","2,920","2,795","2,780","42,446"
Hunterdon,"1,293","1,243","1,133","1,128",953,960,926,847,822,871,880,903,915,"12,874"
Mercer,"4,425","4,516","4,602","4,569","4,422","4,326","4,149","4,137","4,036","4,114","3,996","4,105","3,954","55,351"
Middlesex,"10,187","10,480","10,649","10,370","10,019","9,876","9,725","9,745","9,143","9,447","9,153","9,241","9,006","127,041"
Monmouth,"7,225","7,117","6,907","6,640","6,371","6,124","6,004","5,971","5,808","5,668","5,697","5,685","5,463","80,680"
Morris,"5,674","5,656","5,390","5,219","4,963","4,774","4,635","4,563","4,508","4,578","4,652","4,568","4,611","63,791"
Ocean,"7,538","7,506","7,952","7,743","7,833","7,711","7,888","7,812","7,856","8,219","8,349","8,394","8,423","103,224"
Passaic,"7,499","7,459","7,732","7,363","7,226","7,039","7,005","6,859","6,829","6,670","6,892","6,724","6,681","91,978"
Salem,634,646,627,612,599,572,573,526,550,565,530,507,556,"7,497"
Somerset,"4,117","3,960","4,008","3,816","3,690","3,509","3,386","3,424","3,335","3,322","3,286","3,247","3,077","46,177"
Sussex,"1,556","1,618","1,501","1,490","1,344","1,362","1,304","1,185","1,224","1,197","1,142","1,139","1,162","17,224"
Bergen,"9,095","9,068","9,221","8,849","8,765","8,578","8,411","8,421","8,508","8,728","8,788","8,791","8,586","113,809"
Union,"7,186","7,418","7,443","7,195","7,117","6,882","6,617","6,589","6,746","6,567","6,620","6,566","6,679","89,625"
Warren,"1,180","1,221","1,143",973,821,782,803,727,746,704,683,678,669,"11,130"
Burlington,"5,060","5,057","5,066","4,884","4,749","4,567","4,570","4,342","4,364","4,328","4,258","4,212","4,258","59,715"
Camden,"6,763","6,801","6,950","6,700","6,557","6,375","6,121","6,035","5,975","5,912","5,873","5,817","5,596","81,475"
Cape May,922,892,947,884,969,890,920,915,819,955,869,823,751,"11,556"
Cumberland,"2,420","2,346","2,505","2,497","2,318","2,288","2,147","2,056","1,919","2,072","1,947","1,822","1,796","28,133"
Essex,"11,120","11,464","11,502","11,213","10,838","10,110","10,210","10,105","9,879","9,908","9,950","10,054","9,881","136,234"
Gloucester,"2,962","3,131","3,101","2,907","3,058","2,938","2,921","2,793","2,721","2,818","2,677","2,586","2,641","37,254"
Hudson,"8,028","8,248","8,249","8,308","8,306","8,489","8,766","8,650","8,570","8,560","8,738","8,682","8,464","110,058"
,,,,,,,,,,,,,,
Data List,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County of Residence,County of Residence ID,Year,Year ID,Count,,,,,,,,,,
Record Count: 308,,,,,,,,,,,,,,
Total,.,Total,.,"1,327,272",,,,,,,,,,
Total,.,2005,2005,"108,431",,,,,,,,,,
Total,.,2006,2006,"109,422",,,,,,,,,,
Total,.,2007,2007,"110,185",,,,,,,,,,
Total,.,2008,2008,"106,940",,,,,,,,,,
Total,.,2009,2009,"104,530",,,,,,,,,,
Total,.,2010,2010,"101,391",,,,,,,,,,
Total,.,2011,2011,"100,516",,,,,,,,,,
Total,.,2012,2012,"98,933",,,,,,,,,,
Total,.,2013,2013,"97,479",,,,,,,,,,
Total,.,2014,2014,"98,257",,,,,,,,,,
Total,.,2015,2015,"97,900",,,,,,,,,,
Total,.,2016,2016,"97,339",,,,,,,,,,
Total,.,2017,2017,"95,949",,,,,,,,,,
Atlantic,1,Total,.,"42,446",,,,,,,,,,
Atlantic,1,2005,2005,"3,547",,,,,,,,,,
Atlantic,1,2006,2006,"3,575",,,,,,,,,,
Atlantic,1,2007,2007,"3,557",,,,,,,,,,
Atlantic,1,2008,2008,"3,580",,,,,,,,,,
Atlantic,1,2009,2009,"3,612",,,,,,,,,,
Atlantic,1,2010,2010,"3,239",,,,,,,,,,
Atlantic,1,2011,2011,"3,435",,,,,,,,,,
Atlantic,1,2012,2012,"3,231",,,,,,,,,,
Atlantic,1,2013,2013,"3,121",,,,,,,,,,
Atlantic,1,2014,2014,"3,054",,,,,,,,,,
Atlantic,1,2015,2015,"2,920",,,,,,,,,,
Atlantic,1,2016,2016,"2,795",,,,,,,,,,
Atlantic,1,2017,2017,"2,780",,,,,,,,,,
Bergen,2,Total,.,"113,809",,,,,,,,,,
Bergen,2,2005,2005,"9,095",,,,,,,,,,
Bergen,2,2006,2006,"9,068",,,,,,,,,,
Bergen,2,2007,2007,"9,221",,,,,,,,,,
Bergen,2,2008,2008,"8,849",,,,,,,,,,
Bergen,2,2009,2009,"8,765",,,,,,,,,,
Bergen,2,2010,2010,"8,578",,,,,,,,,,
Bergen,2,2011,2011,"8,411",,,,,,,,,,
Bergen,2,2012,2012,"8,421",,,,,,,,,,
Bergen,2,2013,2013,"8,508",,,,,,,,,,
Bergen,2,2014,2014,"8,728",,,,,,,,,,
Bergen,2,2015,2015,"8,788",,,,,,,,,,
Bergen,2,2016,2016,"8,791",,,,,,,,,,
Bergen,2,2017,2017,"8,586",,,,,,,,,,
Burlington,3,Total,.,"59,715",,,,,,,,,,
Burlington,3,2005,2005,"5,060",,,,,,,,,,
Burlington,3,2006,2006,"5,057",,,,,,,,,,
Burlington,3,2007,2007,"5,066",,,,,,,,,,
Burlington,3,2008,2008,"4,884",,,,,,,,,,
Burlington,3,2009,2009,"4,749",,,,,,,,,,
Burlington,3,2010,2010,"4,567",,,,,,,,,,
Burlington,3,2011,2011,"4,570",,,,,,,,,,
Burlington,3,2012,2012,"4,342",,,,,,,,,,
Burlington,3,2013,2013,"4,364",,,,,,,,,,
Burlington,3,2014,2014,"4,328",,,,,,,,,,
Burlington,3,2015,2015,"4,258",,,,,,,,,,
Burlington,3,2016,2016,"4,212",,,,,,,,,,
Burlington,3,2017,2017,"4,258",,,,,,,,,,
Camden,4,Total,.,"81,475",,,,,,,,,,
Camden,4,2005,2005,"6,763",,,,,,,,,,
Camden,4,2006,2006,"6,801",,,,,,,,,,
Camden,4,2007,2007,"6,950",,,,,,,,,,
Camden,4,2008,2008,"6,700",,,,,,,,,,
Camden,4,2009,2009,"6,557",,,,,,,,,,
Camden,4,2010,2010,"6,375",,,,,,,,,,
Camden,4,2011,2011,"6,121",,,,,,,,,,
Camden,4,2012,2012,"6,035",,,,,,,,,,
Camden,4,2013,2013,"5,975",,,,,,,,,,
Camden,4,2014,2014,"5,912",,,,,,,,,,
Camden,4,2015,2015,"5,873",,,,,,,,,,
Camden,4,2016,2016,"5,817",,,,,,,,,,
Camden,4,2017,2017,"5,596",,,,,,,,,,
Cape May,5,Total,.,"11,556",,,,,,,,,,
Cape May,5,2005,2005,922,,,,,,,,,,
Cape May,5,2006,2006,892,,,,,,,,,,
Cape May,5,2007,2007,947,,,,,,,,,,
Cape May,5,2008,2008,884,,,,,,,,,,
Cape May,5,2009,2009,969,,,,,,,,,,
Cape May,5,2010,2010,890,,,,,,,,,,
Cape May,5,2011,2011,920,,,,,,,,,,
Cape May,5,2012,2012,915,,,,,,,,,,
Cape May,5,2013,2013,819,,,,,,,,,,
Cape May,5,2014,2014,955,,,,,,,,,,
Cape May,5,2015,2015,869,,,,,,,,,,
Cape May,5,2016,2016,823,,,,,,,,,,
Cape May,5,2017,2017,751,,,,,,,,,,
Cumberland,6,Total,.,"28,133",,,,,,,,,,
Cumberland,6,2005,2005,"2,420",,,,,,,,,,
Cumberland,6,2006,2006,"2,346",,,,,,,,,,
Cumberland,6,2007,2007,"2,505",,,,,,,,,,
Cumberland,6,2008,2008,"2,497",,,,,,,,,,
Cumberland,6,2009,2009,"2,318",,,,,,,,,,
Cumberland,6,2010,2010,"2,288",,,,,,,,,,
Cumberland,6,2011,2011,"2,147",,,,,,,,,,
Cumberland,6,2012,2012,"2,056",,,,,,,,,,
Cumberland,6,2013,2013,"1,919",,,,,,,,,,
Cumberland,6,2014,2014,"2,072",,,,,,,,,,
Cumberland,6,2015,2015,"1,947",,,,,,,,,,
Cumberland,6,2016,2016,"1,822",,,,,,,,,,
Cumberland,6,2017,2017,"1,796",,,,,,,,,,
Essex,7,Total,.,"136,234",,,,,,,,,,
Essex,7,2005,2005,"11,120",,,,,,,,,,
Essex,7,2006,2006,"11,464",,,,,,,,,,
Essex,7,2007,2007,"11,502",,,,,,,,,,
Essex,7,2008,2008,"11,213",,,,,,,,,,
Essex,7,2009,2009,"10,838",,,,,,,,,,
Essex,7,2010,2010,"10,110",,,,,,,,,,
Essex,7,2011,2011,"10,210",,,,,,,,,,
Essex,7,2012,2012,"10,105",,,,,,,,,,
Essex,7,2013,2013,"9,879",,,,,,,,,,
Essex,7,2014,2014,"9,908",,,,,,,,,,
Essex,7,2015,2015,"9,950",,,,,,,,,,
Essex,7,2016,2016,"10,054",,,,,,,,,,
Essex,7,2017,2017,"9,881",,,,,,,,,,
Gloucester,8,Total,.,"37,254",,,,,,,,,,
Gloucester,8,2005,2005,"2,962",,,,,,,,,,
Gloucester,8,2006,2006,"3,131",,,,,,,,,,
Gloucester,8,2007,2007,"3,101",,,,,,,,,,
Gloucester,8,2008,2008,"2,907",,,,,,,,,,
Gloucester,8,2009,2009,"3,058",,,,,,,,,,
Gloucester,8,2010,2010,"2,938",,,,,,,,,,
Gloucester,8,2011,2011,"2,921",,,,,,,,,,
Gloucester,8,2012,2012,"2,793",,,,,,,,,,
Gloucester,8,2013,2013,"2,721",,,,,,,,,,
Gloucester,8,2014,2014,"2,818",,,,,,,,,,
Gloucester,8,2015,2015,"2,677",,,,,,,,,,
Gloucester,8,2016,2016,"2,586",,,,,,,,,,
Gloucester,8,2017,2017,"2,641",,,,,,,,,,
Hudson,9,Total,.,"110,058",,,,,,,,,,
Hudson,9,2005,2005,"8,028",,,,,,,,,,
Hudson,9,2006,2006,"8,248",,,,,,,,,,
Hudson,9,2007,2007,"8,249",,,,,,,,,,
Hudson,9,2008,2008,"8,308",,,,,,,,,,
Hudson,9,2009,2009,"8,306",,,,,,,,,,
Hudson,9,2010,2010,"8,489",,,,,,,,,,
Hudson,9,2011,2011,"8,766",,,,,,,,,,
Hudson,9,2012,2012,"8,650",,,,,,,,,,
Hudson,9,2013,2013,"8,570",,,,,,,,,,
Hudson,9,2014,2014,"8,560",,,,,,,,,,
Hudson,9,2015,2015,"8,738",,,,,,,,,,
Hudson,9,2016,2016,"8,682",,,,,,,,,,
Hudson,9,2017,2017,"8,464",,,,,,,,,,
Hunterdon,10,Total,.,"12,874",,,,,,,,,,
Hunterdon,10,2005,2005,"1,293",,,,,,,,,,
Hunterdon,10,2006,2006,"1,243",,,,,,,,,,
Hunterdon,10,2007,2007,"1,133",,,,,,,,,,
Hunterdon,10,2008,2008,"1,128",,,,,,,,,,
Hunterdon,10,2009,2009,953,,,,,,,,,,
Hunterdon,10,2010,2010,960,,,,,,,,,,
Hunterdon,10,2011,2011,926,,,,,,,,,,
Hunterdon,10,2012,2012,847,,,,,,,,,,
Hunterdon,10,2013,2013,822,,,,,,,,,,
Hunterdon,10,2014,2014,871,,,,,,,,,,
Hunterdon,10,2015,2015,880,,,,,,,,,,
Hunterdon,10,2016,2016,903,,,,,,,,,,
Hunterdon,10,2017,2017,915,,,,,,,,,,
