Query Criteria for the Count Measure,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year Filter:,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",,,,,,,,,,,,,,,
NCHS 113 Selected Causes of Death Filter:,"Other complications of pregnancy, childbirth and the puerperium , Pregnancy with abortive outcome",,,,,,,,,,,,,,,
State of Occurrence Filter:,New Jersey,,,,,,,,,,,,,,,
Data Grouped By:,"County of Residence, Year",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data Table of Number of Deaths by Year and County of Residence,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
County of Residence,Year,,,,,,,,,,,,,,,Total
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Total,23,32,32,26,38,27,48,36,51,52,36,41,40,28,34,544
Record Count: 21,,,,,,,,,,,,,,,,
Atlantic,1,1,,,1,3,2,2,3,1,2,2,,2,1,21
Hunterdon,,,,,1,,1,2,1,,,,,,,5
Mercer,2,2,,,1,,3,1,1,4,2,1,,,1,18
Middlesex,1,5,3,2,4,2,5,6,3,5,3,3,5,3,,50
Monmouth,2,1,3,1,2,,4,4,2,5,2,1,3,1,2,33
Morris,,3,,3,3,1,,1,,1,1,1,1,1,2,18
Ocean,,2,2,,1,1,2,2,2,2,3,2,,2,1,22
Passaic,1,,,1,,3,3,1,5,2,3,3,4,4,1,31
Salem,,,,1,,,,,,,1,1,,,1,4
Somerset,1,,2,2,1,1,1,1,3,,,,,,3,15
Sussex,,,,1,2,,,,1,,2,1,1,,,8
Bergen,2,3,2,2,1,3,,,2,5,2,3,2,1,4,32
Union,,2,3,2,4,2,2,1,7,1,2,3,6,5,3,43
Warren,,,1,,,,,,,,1,,,,,2
Burlington,2,1,2,1,,1,3,2,3,3,1,2,,1,,22
Camden,,1,5,3,2,,3,3,5,3,1,6,4,3,3,42
Cape May,1,,,,,,,1,,,1,1,1,,,5
Cumberland,,1,1,1,1,1,2,1,,1,,2,3,,2,16
Essex,6,6,5,4,8,5,11,5,11,11,3,6,6,3,7,97
Gloucester,1,,,1,2,1,1,,,2,2,1,2,2,,15
Hudson,3,4,3,1,4,3,5,3,2,6,4,2,2,,3,45
,,,,,,,,,,,,,,,,
Data List,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
County of Residence,County of Residence ID,Year,Year ID,Number of Deaths,,,,,,,,,,,,
Record Count: 254,,,,,,,,,,,,,,,,
Total,.,Total,.,544,,,,,,,,,,,,
Total,.,2005,2005,23,,,,,,,,,,,,
Total,.,2006,2006,32,,,,,,,,,,,,
Total,.,2007,2007,32,,,,,,,,,,,,
Total,.,2008,2008,26,,,,,,,,,,,,
Total,.,2009,2009,38,,,,,,,,,,,,
Total,.,2010,2010,27,,,,,,,,,,,,
Total,.,2011,2011,48,,,,,,,,,,,,
Total,.,2012,2012,36,,,,,,,,,,,,
Total,.,2013,2013,51,,,,,,,,,,,,
Total,.,2014,2014,52,,,,,,,,,,,,
Total,.,2015,2015,36,,,,,,,,,,,,
Total,.,2016,2016,41,,,,,,,,,,,,
Total,.,2017,2017,40,,,,,,,,,,,,
Total,.,2018,2018,28,,,,,,,,,,,,
Total,.,2019,2019,34,,,,,,,,,,,,
Atlantic,1,Total,.,21,,,,,,,,,,,,
Atlantic,1,2005,2005,1,,,,,,,,,,,,
Atlantic,1,2006,2006,1,,,,,,,,,,,,
Atlantic,1,2009,2009,1,,,,,,,,,,,,
Atlantic,1,2010,2010,3,,,,,,,,,,,,
Atlantic,1,2011,2011,2,,,,,,,,,,,,
Atlantic,1,2012,2012,2,,,,,,,,,,,,
Atlantic,1,2013,2013,3,,,,,,,,,,,,
Atlantic,1,2014,2014,1,,,,,,,,,,,,
Atlantic,1,2015,2015,2,,,,,,,,,,,,
Atlantic,1,2016,2016,2,,,,,,,,,,,,
Atlantic,1,2018,2018,2,,,,,,,,,,,,
Atlantic,1,2019,2019,1,,,,,,,,,,,,
Bergen,2,Total,.,32,,,,,,,,,,,,
Bergen,2,2005,2005,2,,,,,,,,,,,,
Bergen,2,2006,2006,3,,,,,,,,,,,,
Bergen,2,2007,2007,2,,,,,,,,,,,,
Bergen,2,2008,2008,2,,,,,,,,,,,,
Bergen,2,2009,2009,1,,,,,,,,,,,,
Bergen,2,2010,2010,3,,,,,,,,,,,,
Bergen,2,2013,2013,2,,,,,,,,,,,,
Bergen,2,2014,2014,5,,,,,,,,,,,,
Bergen,2,2015,2015,2,,,,,,,,,,,,
Bergen,2,2016,2016,3,,,,,,,,,,,,
Bergen,2,2017,2017,2,,,,,,,,,,,,
Bergen,2,2018,2018,1,,,,,,,,,,,,
Bergen,2,2019,2019,4,,,,,,,,,,,,
Burlington,3,Total,.,22,,,,,,,,,,,,
Burlington,3,2005,2005,2,,,,,,,,,,,,
Burlington,3,2006,2006,1,,,,,,,,,,,,
Burlington,3,2007,2007,2,,,,,,,,,,,,
Burlington,3,2008,2008,1,,,,,,,,,,,,
Burlington,3,2010,2010,1,,,,,,,,,,,,
Burlington,3,2011,2011,3,,,,,,,,,,,,
Burlington,3,2012,2012,2,,,,,,,,,,,,
Burlington,3,2013,2013,3,,,,,,,,,,,,
Burlington,3,2014,2014,3,,,,,,,,,,,,
Burlington,3,2015,2015,1,,,,,,,,,,,,
Burlington,3,2016,2016,2,,,,,,,,,,,,
Burlington,3,2018,2018,1,,,,,,,,,,,,
Camden,4,Total,.,42,,,,,,,,,,,,
Camden,4,2006,2006,1,,,,,,,,,,,,
Camden,4,2007,2007,5,,,,,,,,,,,,
Camden,4,2008,2008,3,,,,,,,,,,,,
Camden,4,2009,2009,2,,,,,,,,,,,,
Camden,4,2011,2011,3,,,,,,,,,,,,
Camden,4,2012,2012,3,,,,,,,,,,,,
Camden,4,2013,2013,5,,,,,,,,,,,,
Camden,4,2014,2014,3,,,,,,,,,,,,
Camden,4,2015,2015,1,,,,,,,,,,,,
Camden,4,2016,2016,6,,,,,,,,,,,,
Camden,4,2017,2017,4,,,,,,,,,,,,
Camden,4,2018,2018,3,,,,,,,,,,,,
Camden,4,2019,2019,3,,,,,,,,,,,,
Cape May,5,Total,.,5,,,,,,,,,,,,
Cape May,5,2005,2005,1,,,,,,,,,,,,
Cape May,5,2012,2012,1,,,,,,,,,,,,
Cape May,5,2015,2015,1,,,,,,,,,,,,
Cape May,5,2016,2016,1,,,,,,,,,,,,
Cape May,5,2017,2017,1,,,,,,,,,,,,
Cumberland,6,Total,.,16,,,,,,,,,,,,
Cumberland,6,2006,2006,1,,,,,,,,,,,,
Cumberland,6,2007,2007,1,,,,,,,,,,,,
Cumberland,6,2008,2008,1,,,,,,,,,,,,
Cumberland,6,2009,2009,1,,,,,,,,,,,,
Cumberland,6,2010,2010,1,,,,,,,,,,,,
Cumberland,6,2011,2011,2,,,,,,,,,,,,
Cumberland,6,2012,2012,1,,,,,,,,,,,,
Cumberland,6,2014,2014,1,,,,,,,,,,,,
Cumberland,6,2016,2016,2,,,,,,,,,,,,
Cumberland,6,2017,2017,3,,,,,,,,,,,,
Cumberland,6,2019,2019,2,,,,,,,,,,,,
Essex,7,Total,.,97,,,,,,,,,,,,
Essex,7,2005,2005,6,,,,,,,,,,,,
Essex,7,2006,2006,6,,,,,,,,,,,,
Essex,7,2007,2007,5,,,,,,,,,,,,
Essex,7,2008,2008,4,,,,,,,,,,,,
Essex,7,2009,2009,8,,,,,,,,,,,,
Essex,7,2010,2010,5,,,,,,,,,,,,
Essex,7,2011,2011,11,,,,,,,,,,,,
Essex,7,2012,2012,5,,,,,,,,,,,,
Essex,7,2013,2013,11,,,,,,,,,,,,
Essex,7,2014,2014,11,,,,,,,,,,,,
Essex,7,2015,2015,3,,,,,,,,,,,,
Essex,7,2016,2016,6,,,,,,,,,,,,
Essex,7,2017,2017,6,,,,,,,,,,,,
Essex,7,2018,2018,3,,,,,,,,,,,,
Essex,7,2019,2019,7,,,,,,,,,,,,
Gloucester,8,Total,.,15,,,,,,,,,,,,
Gloucester,8,2005,2005,1,,,,,,,,,,,,
Gloucester,8,2008,2008,1,,,,,,,,,,,,
Gloucester,8,2009,2009,2,,,,,,,,,,,,
Gloucester,8,2010,2010,1,,,,,,,,,,,,
Gloucester,8,2011,2011,1,,,,,,,,,,,,
Gloucester,8,2014,2014,2,,,,,,,,,,,,
Gloucester,8,2015,2015,2,,,,,,,,,,,,
Gloucester,8,2016,2016,1,,,,,,,,,,,,
Gloucester,8,2017,2017,2,,,,,,,,,,,,
Gloucester,8,2018,2018,2,,,,,,,,,,,,
Hudson,9,Total,.,45,,,,,,,,,,,,
Hudson,9,2005,2005,3,,,,,,,,,,,,
Hudson,9,2006,2006,4,,,,,,,,,,,,
Hudson,9,2007,2007,3,,,,,,,,,,,,
Hudson,9,2008,2008,1,,,,,,,,,,,,
Hudson,9,2009,2009,4,,,,,,,,,,,,
Hudson,9,2010,2010,3,,,,,,,,,,,,
Hudson,9,2011,2011,5,,,,,,,,,,,,
Hudson,9,2012,2012,3,,,,,,,,,,,,
Hudson,9,2013,2013,2,,,,,,,,,,,,
Hudson,9,2014,2014,6,,,,,,,,,,,,
Hudson,9,2015,2015,4,,,,,,,,,,,,
Hudson,9,2016,2016,2,,,,,,,,,,,,
Hudson,9,2017,2017,2,,,,,,,,,,,,
Hudson,9,2019,2019,3,,,,,,,,,,,,
Hunterdon,10,Total,.,5,,,,,,,,,,,,
Hunterdon,10,2009,2009,1,,,,,,,,,,,,
Hunterdon,10,2011,2011,1,,,,,,,,,,,,
Hunterdon,10,2012,2012,2,,,,,,,,,,,,
Hunterdon,10,2013,2013,1,,,,,,,,,,,,
Mercer,11,Total,.,18,,,,,,,,,,,,
Mercer,11,2005,2005,2,,,,,,,,,,,,
Mercer,11,2006,2006,2,,,,,,,,,,,,
Mercer,11,2009,2009,1,,,,,,,,,,,,
Mercer,11,2011,2011,3,,,,,,,,,,,,
Mercer,11,2012,2012,1,,,,,,,,,,,,
Mercer,11,2013,2013,1,,,,,,,,,,,,
Mercer,11,2014,2014,4,,,,,,,,,,,,
Mercer,11,2015,2015,2,,,,,,,,,,,,
Mercer,11,2016,2016,1,,,,,,,,,,,,
Mercer,11,2019,2019,1,,,,,,,,,,,,
Middlesex,12,Total,.,50,,,,,,,,,,,,
Middlesex,12,2005,2005,1,,,,,,,,,,,,
Middlesex,12,2006,2006,5,,,,,,,,,,,,
Middlesex,12,2007,2007,3,,,,,,,,,,,,
Middlesex,12,2008,2008,2,,,,,,,,,,,,
Middlesex,12,2009,2009,4,,,,,,,,,,,,
Middlesex,12,2010,2010,2,,,,,,,,,,,,
Middlesex,12,2011,2011,5,,,,,,,,,,,,
Middlesex,12,2012,2012,6,,,,,,,,,,,,
Middlesex,12,2013,2013,3,,,,,,,,,,,,
Middlesex,12,2014,2014,5,,,,,,,,,,,,
Middlesex,12,2015,2015,3,,,,,,,,,,,,
Middlesex,12,2016,2016,3,,,,,,,,,,,,
Middlesex,12,2017,2017,5,,,,,,,,,,,,
Middlesex,12,2018,2018,3,,,,,,,,,,,,
Monmouth,13,Total,.,33,,,,,,,,,,,,
Monmouth,13,2005,2005,2,,,,,,,,,,,,
Monmouth,13,2006,2006,1,,,,,,,,,,,,
Monmouth,13,2007,2007,3,,,,,,,,,,,,
Monmouth,13,2008,2008,1,,,,,,,,,,,,
Monmouth,13,2009,2009,2,,,,,,,,,,,,
Monmouth,13,2011,2011,4,,,,,,,,,,,,
Monmouth,13,2012,2012,4,,,,,,,,,,,,
Monmouth,13,2013,2013,2,,,,,,,,,,,,
Monmouth,13,2014,2014,5,,,,,,,,,,,,
Monmouth,13,2015,2015,2,,,,,,,,,,,,
Monmouth,13,2016,2016,1,,,,,,,,,,,,
Monmouth,13,2017,2017,3,,,,,,,,,,,,
Monmouth,13,2018,2018,1,,,,,,,,,,,,
Monmouth,13,2019,2019,2,,,,,,,,,,,,
Morris,14,Total,.,18,,,,,,,,,,,,
Morris,14,2006,2006,3,,,,,,,,,,,,
Morris,14,2008,2008,3,,,,,,,,,,,,
Morris,14,2009,2009,3,,,,,,,,,,,,
Morris,14,2010,2010,1,,,,,,,,,,,,
Morris,14,2012,2012,1,,,,,,,,,,,,
Morris,14,2014,2014,1,,,,,,,,,,,,
Morris,14,2015,2015,1,,,,,,,,,,,,
Morris,14,2016,2016,1,,,,,,,,,,,,
Morris,14,2017,2017,1,,,,,,,,,,,,
Morris,14,2018,2018,1,,,,,,,,,,,,
Morris,14,2019,2019,2,,,,,,,,,,,,
Ocean,15,Total,.,22,,,,,,,,,,,,
Ocean,15,2006,2006,2,,,,,,,,,,,,
Ocean,15,2007,2007,2,,,,,,,,,,,,
Ocean,15,2009,2009,1,,,,,,,,,,,,
Ocean,15,2010,2010,1,,,,,,,,,,,,
Ocean,15,2011,2011,2,,,,,,,,,,,,
Ocean,15,2012,2012,2,,,,,,,,,,,,
Ocean,15,2013,2013,2,,,,,,,,,,,,
Ocean,15,2014,2014,2,,,,,,,,,,,,
Ocean,15,2015,2015,3,,,,,,,,,,,,
Ocean,15,2016,2016,2,,,,,,,,,,,,
Ocean,15,2018,2018,2,,,,,,,,,,,,
Ocean,15,2019,2019,1,,,,,,,,,,,,
Passaic,16,Total,.,31,,,,,,,,,,,,
Passaic,16,2005,2005,1,,,,,,,,,,,,
Passaic,16,2008,2008,1,,,,,,,,,,,,
Passaic,16,2010,2010,3,,,,,,,,,,,,
Passaic,16,2011,2011,3,,,,,,,,,,,,
Passaic,16,2012,2012,1,,,,,,,,,,,,
Passaic,16,2013,2013,5,,,,,,,,,,,,
Passaic,16,2014,2014,2,,,,,,,,,,,,
Passaic,16,2015,2015,3,,,,,,,,,,,,
Passaic,16,2016,2016,3,,,,,,,,,,,,
Passaic,16,2017,2017,4,,,,,,,,,,,,
Passaic,16,2018,2018,4,,,,,,,,,,,,
Passaic,16,2019,2019,1,,,,,,,,,,,,
Salem,17,Total,.,4,,,,,,,,,,,,
Salem,17,2008,2008,1,,,,,,,,,,,,
Salem,17,2015,2015,1,,,,,,,,,,,,
Salem,17,2016,2016,1,,,,,,,,,,,,
Salem,17,2019,2019,1,,,,,,,,,,,,
Somerset,18,Total,.,15,,,,,,,,,,,,
Somerset,18,2005,2005,1,,,,,,,,,,,,
Somerset,18,2007,2007,2,,,,,,,,,,,,
Somerset,18,2008,2008,2,,,,,,,,,,,,
Somerset,18,2009,2009,1,,,,,,,,,,,,
Somerset,18,2010,2010,1,,,,,,,,,,,,
Somerset,18,2011,2011,1,,,,,,,,,,,,
Somerset,18,2012,2012,1,,,,,,,,,,,,
Somerset,18,2013,2013,3,,,,,,,,,,,,
Somerset,18,2019,2019,3,,,,,,,,,,,,
Sussex,19,Total,.,8,,,,,,,,,,,,
Sussex,19,2008,2008,1,,,,,,,,,,,,
Sussex,19,2009,2009,2,,,,,,,,,,,,
Sussex,19,2013,2013,1,,,,,,,,,,,,
Sussex,19,2015,2015,2,,,,,,,,,,,,
Sussex,19,2016,2016,1,,,,,,,,,,,,
Sussex,19,2017,2017,1,,,,,,,,,,,,
Union,20,Total,.,43,,,,,,,,,,,,
Union,20,2006,2006,2,,,,,,,,,,,,
Union,20,2007,2007,3,,,,,,,,,,,,
Union,20,2008,2008,2,,,,,,,,,,,,
Union,20,2009,2009,4,,,,,,,,,,,,
Union,20,2010,2010,2,,,,,,,,,,,,
Union,20,2011,2011,2,,,,,,,,,,,,
Union,20,2012,2012,1,,,,,,,,,,,,
Union,20,2013,2013,7,,,,,,,,,,,,
Union,20,2014,2014,1,,,,,,,,,,,,
Union,20,2015,2015,2,,,,,,,,,,,,
Union,20,2016,2016,3,,,,,,,,,,,,
Union,20,2017,2017,6,,,,,,,,,,,,
Union,20,2018,2018,5,,,,,,,,,,,,
Union,20,2019,2019,3,,,,,,,,,,,,
Warren,21,Total,.,2,,,,,,,,,,,,
Warren,21,2007,2007,1,,,,,,,,,,,,
Warren,21,2015,2015,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data Sources,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"New Jersey Death Certificate Database, Office of Vital Statistics and Registry, New Jersey Department of Health",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Query Date Time Stamp,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"These data were queried on: Wed, 2 Feb 2022 14:40:27 EST",,,,,,,,,,,,,,,,
"The dataset was last updated on: Fri, 7 May 2021 10:49:41 EDT",,,,,,,,,,,,,,,,
"Center for Health Statistics, New Jersey Department of Health, PO Box 360, Trenton, NJ 08625-0360, Web: www.nj.gov/health/chs, e-mail: chs@doh.nj.gov",,,,,,,,,,,,,,,,
"The information provided above is from the Department of Health's NJSHAD web site (https://nj.gov/health/shad). The information published on this website may be reproduced without permission. Please use the following citation: "" Retrieved Wed, 02 February 2022 14:40:28 from Department of Health, New Jersey State Health Assessment Data Web site: https://nj.gov/health/shad "".",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Content updated: Wed, 31 Dec 1969 19:00:01 EST",,,,,,,,,,,,,,,,
