FIPS_Code,Census_Name,County_Name,State
34001,"Atlantic County, New Jersey",Atlantic, New Jersey
34003,"Bergen County, New Jersey",Bergen, New Jersey
34005,"Burlington County, New Jersey",Burlington, New Jersey
34007,"Camden County, New Jersey",Camden , New Jersey
34009,"Cape May County, New Jersey",Cape May, New Jersey
34011,"Cumberland County, New Jersey",Cumberland, New Jersey
34013,"Essex County, New Jersey",Essex, New Jersey
34015,"Gloucester County, New Jersey",Gloucester, New Jersey
34017,"Hudson County, New Jersey",Hudson, New Jersey
34019,"Hunterdon County, New Jersey",Hunterdon, New Jersey
34021,"Mercer County, New Jersey",Mercer, New Jersey
34023,"Middlesex County, New Jersey",Middlesex, New Jersey
34025,"Monmouth County, New Jersey",Monmouth, New Jersey
34027,"Morris County, New Jersey",Morris, New Jersey
34029,"Ocean County, New Jersey",Ocean, New Jersey
34031,"Passaic County, New Jersey",Passaic, New Jersey
34033,"Salem County, New Jersey",Salem, New Jersey
34035,"Somerset County, New Jersey",Somerset, New Jersey
34037,"Sussex County, New Jersey",Sussex, New Jersey
34039,"Union County, New Jersey",Union, New Jersey
34041,"Warren County, New Jersey",Warren, New Jersey
